V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
22,17,12	17,21,13	17,21,14	18,22,12	17,20,14	18,21,11	17,21,12	17,22,13	17,20,13	17,22,14	18,22,11	16,20,16	16,21,15	18,21,12	18,22,13	16,20,15	17,20,15	18,20,11	16,19,16	17,21,15	17,22,12
34,19,9	32,26,6	33,25,6	32,25,6	33,26,7	32,27,7	32,26,7	33,27,7	32,24,5	33,24,6	34,24,6	33,27,8	34,26,7	33,25,7	31,26,6	31,25,5	32,27,8	33,26,8	34,25,7	32,28,8	31,27,6
16,18,24	17,15,29	17,14,28	17,16,29	16,16,28	17,15,28	16,15,28	17,13,27	16,17,28	17,16,28	17,16,30	16,14,28	16,16,29	16,13,27	17,17,29	16,15,29	16,14,27	16,16,27	18,15,29	16,17,29	16,17,27
39,22,21	35,22,21	35,23,20	35,24,20	35,23,21	36,22,21	36,23,20	34,23,21	35,21,22	34,24,20	34,21,22	34,22,22	35,25,19	35,22,22	34,22,21	36,21,21	36,22,20	35,24,19	35,21,21	36,24,19	34,23,20
30,29,11	26,34,19	26,35,19	26,33,20	25,35,19	26,35,18	26,34,20	26,32,20	25,34,19	26,33,19	25,35,18	26,32,21	25,34,20	25,33,20	26,31,21	26,34,18	26,33,21	26,35,20	25,35,20	26,31,20	26,30,21
18,18,7	11,23,12	11,22,11	10,21,13	10,22,13	11,22,12	10,21,14	10,22,14	11,23,11	12,23,10	12,22,10	11,22,13	10,21,12	10,22,12	12,23,11	11,21,11	11,23,13	12,22,9	11,21,10	9,21,14	9,21,15
0,23,14	0,28,20	1,28,21	1,27,21	1,27,22	0,27,20	2,28,22	1,29,20	2,27,22	1,29,21	2,27,23	1,28,20	2,29,21	2,28,21	2,29,22	3,28,23	0,28,21	3,27,23	1,28,22	2,26,24	3,29,22
17,13,21	17,13,20	17,12,20	17,11,19	17,14,20	17,12,19	17,10,19	16,15,20	17,11,20	16,14,20	16,13,19	17,13,19	16,14,19	16,16,20	17,15,20	17,9,18	17,10,18	18,11,20	16,12,19	16,16,19	16,13,20
17,28,17	16,26,20	16,25,21	17,27,20	16,27,19	17,28,19	16,27,20	16,28,19	17,26,21	17,29,19	17,28,20	16,25,20	16,26,21	16,29,18	17,26,20	17,24,22	16,24,21	17,25,21	15,25,20	16,24,22	16,30,18
23,16,17	22,16,17	22,15,18	22,15,17	22,14,17	22,17,17	22,18,16	23,19,13	22,16,18	21,17,17	23,18,14	23,18,13	23,19,14	23,19,12	22,18,17	22,14,18	22,17,16	22,19,16	21,16,17	23,20,13	21,18,17
